przejscie_dla_pieszych_lz,ustap_pierwszenstwa_lz,masz_pierszenstwo_lz,nakaz_jazdy_po_prawej_stronie_znaku_lz,tramwaje_lz,inne_znaki_lz,koniec_drogi_z_pierwszenstwem_lz,zakaz_wjazdu_lz,stop_lz,zakaz_skretu/zawracania_lz,rondo_lz,odległosc_od_centrum [km],sciezka_rowerowa,tramwaj,ograniczenie_predkosci,Y_kategoria,sygnalizacja_obecna,sygnalizacja_awaria,pogoda_dobre_warunki,pogoda_opady,pogoda_zla_widocznosc,oswietlenie_dzien,oswietlenie_noc_jasno,oswietlenie_noc_ciemno_zmrok,nawierzchnia_sucha,nawierzchnia_trudna
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,0,0,1,0,0,1,0,1
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Wymuszenie_pojazdy,1,0,1,0,0,0,0,1,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Wymuszenie_pojazdy,1,1,1,0,0,0,1,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Zdarzenia_z_pieszymi,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Zdarzenia_z_pieszymi,1,0,0,0,1,0,1,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,0,0,1,1,0,0,0,1
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,0,1,0,0,1,0,0,1
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,0,0,1,1,0,0,0,1
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Dynamika_i_odleglosc,1,0,0,1,0,1,0,0,0,1
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Wymuszenie_pojazdy,1,0,1,0,0,0,0,1,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Dynamika_i_odleglosc,1,0,0,1,0,1,0,0,0,1
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Zdarzenia_z_pieszymi,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Zdarzenia_z_pieszymi,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,0,1,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Dynamika_i_odleglosc,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Wymuszenie_pojazdy,1,0,1,0,0,0,1,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Dynamika_i_odleglosc,1,0,0,0,1,1,0,0,0,1
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Wymuszenie_pojazdy,1,0,0,0,1,0,1,0,0,1
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Dynamika_i_odleglosc,1,0,0,0,1,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Wymuszenie_pojazdy,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Wymuszenie_pojazdy,1,0,1,0,0,0,1,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Wymuszenie_pojazdy,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Zdarzenia_z_pieszymi,1,0,1,0,0,0,1,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Dynamika_i_odleglosc,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Zdarzenia_z_pieszymi,1,0,1,0,0,0,1,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Dynamika_i_odleglosc,1,0,1,0,0,0,1,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,0,1,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Zdarzenia_z_pieszymi,1,0,0,0,1,0,1,0,0,1
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,0,1,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Zdarzenia_z_pieszymi,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Dynamika_i_odleglosc,1,0,0,0,1,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Dynamika_i_odleglosc,1,0,1,0,0,1,0,0,0,1
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,0,1,0,0,1,0,0,1
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,0,1,0,0,1,0,0,1
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Dynamika_i_odleglosc,1,0,0,0,1,0,1,0,0,1
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Wymuszenie_pojazdy,1,0,1,0,0,0,1,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Dynamika_i_odleglosc,1,0,1,0,0,0,1,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,0,0,1,0,1,0,0,1
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Dynamika_i_odleglosc,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Dynamika_i_odleglosc,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,0,0,1,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,0,1,0,1,0,0,0,1
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Dynamika_i_odleglosc,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Wymuszenie_pojazdy,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,0,1,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Dynamika_i_odleglosc,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,0,1,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Zdarzenia_z_pieszymi,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Wymuszenie_pojazdy,1,0,1,0,0,0,1,0,0,1
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Dynamika_i_odleglosc,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,0,1,0,0,1,0,0,1
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Dynamika_i_odleglosc,1,0,0,0,1,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Dynamika_i_odleglosc,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,0,1,0,0,1,0,0,1
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,0,0,1,0,1,0,0,1
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,0,0,1,0,1,0,0,1
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Dynamika_i_odleglosc,1,0,1,0,0,0,1,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Dynamika_i_odleglosc,1,0,0,1,0,0,0,1,0,1
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Dynamika_i_odleglosc,1,0,0,1,0,0,1,0,0,1
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,0,1,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,0,1,0,1,0,0,0,1
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Dynamika_i_odleglosc,1,0,0,1,0,1,0,0,0,1
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Dynamika_i_odleglosc,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Dynamika_i_odleglosc,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Wymuszenie_pojazdy,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Dynamika_i_odleglosc,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Dynamika_i_odleglosc,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Dynamika_i_odleglosc,1,0,1,0,0,0,1,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,0,1,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Wymuszenie_pojazdy,1,0,1,0,0,1,0,0,1,0
8,2,1,2,0,5,0,2,0,1,0,0.64,1,1,50,Dynamika_i_odleglosc,1,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Zdarzenia_z_pieszymi,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,0,1,0,1,0,0,0,1
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,1,0,0,0,1,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Dynamika_i_odleglosc,0,0,1,0,0,1,0,0,0,1
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,0,0,1,0,0,1,0,1
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Manewry_i_przepisy,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Dynamika_i_odleglosc,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,0,1,0,1,0,0,0,1
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Manewry_i_przepisy,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Dynamika_i_odleglosc,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Dynamika_i_odleglosc,0,0,0,0,1,0,1,0,0,1
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Dynamika_i_odleglosc,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Dynamika_i_odleglosc,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Zdarzenia_z_pieszymi,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Dynamika_i_odleglosc,0,0,0,1,0,0,1,0,0,1
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,0,1,0,1,0,0,0,1
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,0,0,1,0,1,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Manewry_i_przepisy,0,0,0,0,1,0,1,0,0,1
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Dynamika_i_odleglosc,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Dynamika_i_odleglosc,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Zdarzenia_z_pieszymi,0,0,0,0,1,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Dynamika_i_odleglosc,0,0,1,0,0,0,1,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Dynamika_i_odleglosc,0,0,0,0,1,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,0,0,1,1,0,0,0,1
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Manewry_i_przepisy,0,0,0,1,0,0,1,0,0,1
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,1,0,0,0,0,1,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Dynamika_i_odleglosc,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,0,1,0,1,0,0,0,1
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Dynamika_i_odleglosc,0,0,0,1,0,1,0,0,0,1
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,0,0,1,1,0,0,0,1
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Manewry_i_przepisy,0,0,1,0,0,1,0,0,0,1
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,0,0,1,0,0,1,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,0,0,1,1,0,0,0,1
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,0,0,1,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Manewry_i_przepisy,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Manewry_i_przepisy,0,0,0,0,1,1,0,0,0,1
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Dynamika_i_odleglosc,0,0,0,1,0,1,0,0,0,1
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Dynamika_i_odleglosc,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Dynamika_i_odleglosc,0,0,1,0,0,1,0,0,0,1
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Zdarzenia_z_pieszymi,0,0,0,0,1,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,0,0,1,0,1,0,0,1
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Dynamika_i_odleglosc,0,0,0,1,0,0,1,0,0,1
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,0,0,1,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,1,0,0,0,1,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Dynamika_i_odleglosc,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Dynamika_i_odleglosc,0,0,0,0,1,0,1,0,0,1
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,0,0,1,0,1,0,0,1
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,0,1,0,0,1,0,0,1
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Dynamika_i_odleglosc,0,0,1,0,0,0,1,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Manewry_i_przepisy,0,0,1,0,0,0,1,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Dynamika_i_odleglosc,0,0,0,1,0,1,0,0,0,1
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Manewry_i_przepisy,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Manewry_i_przepisy,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Manewry_i_przepisy,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,1,0,0,1,0,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,0,1,0,0,1,0,0,1
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Wymuszenie_pojazdy,0,0,1,0,0,0,1,0,1,0
2,3,4,2,0,23,0,2,0,0,0,9.54,1,0,90,Manewry_i_przepisy,0,0,1,0,0,1,0,0,1,0
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,0,0,1,0,1,0,0,1
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,0,0,1,0,1,0,0,1
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Wymuszenie_pojazdy,1,0,0,1,0,0,1,0,0,1
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,0,0,1,1,0,0,0,1
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,0,1,0,1,0
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,0,0,1,1,0,0,0,1
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,0,0,1,1,0,0,0,1
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,0,1
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,0,1,0,1,0
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,0,1,0,1,0,0,0,1
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,0,1,0,1,0
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,0,0,1,1,0,0,0,1
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,0,0,1,1,0,0,0,1
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,0,1,0,0,1,0,0,1
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,0,0,1,0,0,1,1,0
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,0,0,1,1,0,0,0,1
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,0,0,1,0,1,0,0,1
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,0,1,0,0,1
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,0,1,0,0,1,0,0,1
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Dynamika_i_odleglosc,1,0,0,0,1,1,0,0,1,0
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Dynamika_i_odleglosc,1,0,1,0,0,1,0,0,1,0
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,0,1,0,1,0
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,0,1,0,1,0
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
12,4,3,5,2,5,0,1,0,0,0,5.64,1,1,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
